timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:27.953, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:27.954, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:27.956, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:29.103, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:29.105, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:29.107, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:29.109, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:29.111, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:29.113, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:29.115, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:29.117, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:30.199, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:30.200, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:30.202, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:30.203, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:30.205, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:30.206, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:30.208, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:30.209, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:31.296, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:31.298, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:31.299, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:31.301, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:31.303, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:31.304, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:31.306, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:31.308, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:32.399, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:32.401, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:32.403, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:32.405, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:32.407, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:32.409, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:32.410, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:32.412, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:33.501, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:33.502, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:33.503, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:33.504, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:33.505, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:33.506, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:33.507, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:33.508, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:34.580, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:34.581, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:34.582, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:34.583, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:34.584, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:34.585, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:34.585, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:34.586, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:35.659, Tesla V100-SXM2-16GB, 0 %, 0 %
